Threshold,Precision,Recall,F1,FPR,Flagged
0.1,0.06650372723939875,0.8825819007460266,0.12368744033819719,0.4467238999742684,40915
0.2,0.10305929067773667,0.7408368472267273,0.1809467221231927,0.23249666658869214,22162
0.3,0.1440316914567606,0.6250405449237756,0.23411493135706476,0.1339446536761094,13379
0.35,0.16801831886270394,0.5711968861498541,0.2596579180182837,0.10199068984069803,10481
0.4,0.19815779905466005,0.5303276029841064,0.2885124404446797,0.07738192706262134,8251
0.45,0.21949382344079543,0.4725916315277327,0.29976339882728115,0.06059790872301107,6638
0.5,0.23947614593077643,0.4151800194615634,0.30374940673943995,0.047544971812206134,5345
0.55,0.2559943582510578,0.3532273759325332,0.29685157421289354,0.03701840978736345,4254
0.6,0.2749924035247645,0.2935452481349335,0.2839661123313461,0.027907085545860723,3291
0.7,0.3300653594771242,0.19656179046383393,0.246391542996544,0.014386301433951672,1836
0.8,0.3979721166032953,0.10184884852416477,0.1621900826446281,0.005555685513111417,789
